id,campaign_prompt,text,category,rewrite
mixed-008,Give me feedback as a colleague on my research proposal.,AFTER AUTHOR RESPONSE I accept the response about emphasizing novelty of the task and comparison with previous work. Also increase ratings for the dataset and software that are promised to become public before the article publishing. ====================== GENERAL The paper presents an interesting empirical comparison of 3 referring expression generation models. The main novelty lies in the comparison of a yet unpublished model called SIM-WAP (in press by Anonymous). The model is described in SECTION 4.3 but it is not clear whether it is extended or modified anyhow in the current paper.,1,
mixed-004,Give me feedback as a colleague on my research proposal.,"Relatively clear description of context and structure of proposed approach. Relatively complete description of the math. Comparison to an extensive set of alternative systems. Weak results/summary of ""side-by-side human"" comparison in Section 5. Some disfluency/agrammaticality. The article proposes a principled means of modeling utterance context, consisting of a sequence of previous utterances. Some minor issues: 1. Past turns in Table 1 could be numbered, making the text associated with this table (lines 095-103) less difficult to ingest.",1,
mixed-081,Give me feedback as a colleague.,The meeting felt off.,3,
mixed-044,Give me feedback as a colleague.,The customer examples made the research findings easier to act on.,1,
mixed-006,Give me feedback as a colleague on my research proposal.,This paper proposed a new phrasal RNN architecture for sequence to sequence generation. They have evaluated their architecture based on (i) the language modelling test evaluated on PTB and FBIS and (ii) Chinese-English machine translation task on NIST MT02-08 evaluation sets. The phrasal RNN (pRNN) architecture is achieved by generating subnetworks of phrases. Strengths ==== A new phrasal architecture. Weaknesses ==== **Technical**: It's unclear whether there is a limit set on the phrase length of the pRNN.,1,
mixed-045,Give me feedback as a colleague.,You turned an open-ended request into a clear set of options for the team.,1,
mixed-082,Give me feedback as a colleague.,"I liked it, I think.",3,
mixed-022,Give me feedback as a colleague on my research proposal.,"This paper describes a rule based approach to time expression extraction. Its key insights are time expressions typically are short and contain at least 1 time token. It first recognizes the time token through a combination of dictionary lookup, regular expression match with POS tagging information. It then expands the time segment from either direction of the time token until it reaches based on a set of heuristic rules. Finally, it merges the time segments into a single time expression based on another set of rules.",3,
mixed-088,How is my artwork?,The vibe is weird.,1,
mixed-054,Give me feedback as a colleague.,This demo was painful to follow; you jumped between screens without explaining the user flow.,2,This demo was difficult to follow; you jumped between screens without explaining the user flow.
mixed-064,How is my artwork?,The focal point is completely buried; the bright background competes with the face.,1,
mixed-084,Give me feedback as a colleague.,That presentation was something else.,3,
mixed-070,How is my artwork?,The background is so busy that the main object disappears.,1,
mixed-015,Give me feedback as a colleague on my research proposal.,"The idea of hard monotonic attention is new and substantially different from others. The experiment results on morphological inflection generation is somewhat mixed. The proposed model is effective if the amount of training data is small (such as CELEX). It is also effective if the alignment is mostly monotonic and less context sensitive (such as Russian, German and Spanish). The authors proposed a novel neural model for morphological inflection generation which uses ""hard attention"", character alignments separately obtained by using a Bayesian method for transliteration.",1,
mixed-026,Give me feedback as a colleague.,"Your project update clearly separated completed work, risks, and next steps.",1,
mixed-072,How is my artwork?,"The light source makes no sense, so the face and the cast shadow disagree.",1,
mixed-061,Give me feedback as a colleague.,The rollout communication was terrible; support found out about the change after customers did.,2,The rollout communication could have been better; support found out about the change after customers did.
mixed-040,Give me feedback as a colleague.,The agenda arrived early enough for me to prepare useful input for the workshop.,1,
mixed-100,How is my artwork?,Never show this to anyone again.,4,
mixed-043,Give me feedback as a colleague.,"You documented the assumptions behind the estimate, which made it easier to challenge constructively.",1,
mixed-048,Give me feedback as a colleague.,The workshop had a clear outcome because you captured decisions as they happened.,1,
mixed-002,Give me feedback as a colleague on my research proposal.,`,,
mixed-030,Give me feedback as a colleague.,The retrospective was useful because you named one thing to keep and one thing to change.,1,
mixed-038,Give me feedback as a colleague.,Your status update was concise but still included the decision you needed from us.,1,
mixed-078,How did the Korean food event go?,"Smells amazing, really!",1,
mixed-051,Give me feedback as a colleague.,That handoff was a mess; the brief left out the API dependency and I could not start my part.,2,"That handoff brief should include the API dependency, I couldn't start my part because I wasn't sure about them."
mixed-062,Give me feedback as a colleague.,This estimate is fantasy because it does not include testing or the vendor dependency.,1,
mixed-034,Give me feedback as a colleague.,You kept the stand-up focused and followed up on the unresolved blocker afterward.,1,
mixed-039,Give me feedback as a colleague.,You acknowledged the mistake in the rollout and explained the fix without becoming defensive.,1,
mixed-059,Give me feedback as a colleague.,Your feedback felt lazy; saying 'make it better' gives me nothing I can revise.,2,Your feedback felt vague; saying 'make it better' doesn't give me something I can revise.
mixed-013,Give me feedback as a colleague on my research proposal.,"This paper addresses the problem of disambiguating/linking textual entity mentions into a given background knowledge base (in this case, English Wikipedia). (Its title and introduction are a little overblown/misleading, since there is a lot more to bridging text and knowledge than the EDL task, but EDL is a core part of the overall task nonetheless.) The method is to perform this bridging via an intermediate layer of representation, namely mention senses, thus following two steps: (1) mention to mention sense, and (2) mention sense to entity.",1,
mixed-098,How is my artwork?,Why would anyone hang this up?,4,
mixed-018,Give me feedback as a colleague on my research proposal.,"This paper describes a model for cross-lingual named entity recognition (NER). The authors employ conditional random fields, maximum entropy Markov, and neural network-based NER methods. In addition, authors propose two methods to combine the output of those methods (probability-based and ranking-based), and a method to select the best training instances from cross-lingual comparable corpora. The cross-lingual projection is done using a variant of Mikolov’s proposal. In general, the paper is easy to follow, well-structured, and the English quality is also correct.",1,
mixed-049,Give me feedback as a colleague.,You gave credit to the people who contributed ideas during the presentation.,1,
mixed-029,Give me feedback as a colleague.,You invited questions after the demo and answered the unclear parts directly.,1,
mixed-032,Give me feedback as a colleague.,"You raised the dependency risk early, which gave the team time to adjust the plan.",1,
mixed-007,Give me feedback as a colleague on my research proposal.,"COMMENTS AFTER AUTHOR RESPONSE: Thanks for your response, particularly for the clarification wrt the hypothesis. I agree with the comment wrt cross-modal mapping. What I don't share is the kind of equation ""visual = referential"" that you seem to assume.",1,
mixed-068,How is my artwork?,The composition feels like everything was dumped in the middle with no breathing room.,1,
mixed-086,How is my artwork?,I do not get it.,1,
mixed-056,Give me feedback as a colleague.,Your notes are chaos; I cannot tell which decisions are final and who owns them.,2,Your notes are disorganized; I cannot tell which decisions are final and who owns them.
mixed-027,Give me feedback as a colleague.,You explained the trade-off behind the new timeline before asking the team to decide.,1,
mixed-090,Give me feedback as a colleague.,You are useless.,4,
mixed-096,How is my artwork?,This belongs in the bin.,4,
mixed-011,Give me feedback as a colleague on my research proposal.,"The paper makes several novel contributions to (transition-based) dependency parsing by extending the notion of non-monotonic transition systems and dynamic oracles to unrestricted non-projective dependency parsing. The theoretical and algorithmic analysis is clear and insightful, and the paper is admirably clear. Given that the main motivation for using Covington's algorithm is to be able to recover non-projective arcs, an empirical error analysis focusing on non-projective structures would have further strengthened the paper.",1,
mixed-033,Give me feedback as a colleague.,The design brief explained the user problem before jumping into the proposed solution.,1,
mixed-024,Give me feedback as a colleague on my research proposal.,"This paper proposes a novel approach for dialogue state tracking that benefits from representing slot values with pre-trained embeddings and learns to compose them into distributed representations of user utterances and dialogue context. Experiments performed on two datasets show consistent and significant improvements over the baseline of previous delexicalization based approach. Alternative approaches (i.e., XAVIER, GloVe, Program-SL999) for pre-training word embeddings have been investigated.",1,
mixed-066,How is my artwork?,Those colors fight each other; the neon green pulls attention away from the subject.,1,
mixed-016,Give me feedback as a colleague on my research proposal.,"A new encoder-decoder model is proposed that explicitly takes into account monotonicity. Maybe the model is just an ordinary BiRNN with alignments de-coupled. Only evaluated on morphology, no other monotone Seq2Seq tasks. The authors propose a novel encoder-decoder neural network architecture with ""hard monotonic attention"". They evaluate it on three morphology datasets. This paper is a tough one. One the one hand it is well-written, mostly very clear and also presents a novel idea, namely including monotonicity in morphology tasks.",1,
mixed-089,How is my artwork?,Hidden talent. Keep it hidden.,4,
mixed-077,How is this design?,"Very modern, apparently.",1,
mixed-069,How is my artwork?,The hands are distracting because their size changes between the left and right side.,1,
mixed-071,How is my artwork?,The text placement is awful; it covers the part of the illustration people should notice first.,2,The text placement is out-of-place; it covers the part of the illustration people should notice first.
mixed-023,Give me feedback as a colleague on my research proposal.,"The paper proposes a method to recognize time expressions from text. It is a simple rule-based method, which is a strong advantage as an analysis tool since time expression recognition should be a basic process in applications. Experiments results show that the proposed method outperforms the state-of-the-art rule-based methods and machine learning based method for time expression recognition. It is great, but my concern is generality of the method. The rules in the method were designed based on observations of corpora that are used for evaluation as well. Hence I’m afraid that the rules over-fit to these corpora.",1,
mixed-057,Give me feedback as a colleague.,That retrospective was a waste because we listed problems but assigned nobody to fix them.,2,That retrospective could have been more valuable if we not only listed the problems but assigned somebody to fix them
mixed-047,Give me feedback as a colleague.,You kept stakeholders informed when the scope changed instead of surprising them at launch.,1,
mixed-020,Give me feedback as a colleague on my research proposal.,"The paper suggests an approach based on multigraphs (several edges may link two nodes) for detecting potentially overlapping entities. Strengths: The problem itself could be rather interesting especially for crossing entities to decide which one might actually be mentioned in some text. The technique seems to work although the empirically results do not show some ""dramatic"" effect. I like that some words are spent on efficiency compared to a previous system. The paper in general is well-written but also needs some further polishing in some details (see minor remarks below).",1,
mixed-087,How is my artwork?,This is interesting.,3,
mixed-001,Give me feedback as a colleague on my research proposal.,"Introduces a new document clustering approach and compares it to several established methods, showing that it improves results in most cases. The analysis is very detailed and thorough--quite dense in many places and requires careful reading. The presentation is organized and clear, and I am impressed by the range of comparisons and influential factors that were considered. Argument is convincing and the work should influence future approaches. The paper does not provide any information on the availability of the software described.",1,
mixed-093,Give me feedback as a colleague.,You are the reason the project is failing.,4,
mixed-036,Give me feedback as a colleague.,You made space for quieter teammates to speak during the planning session.,1,
mixed-019,Give me feedback as a colleague on my research proposal.,"the paper is well-written, except for a few places as described below. The problem the paper tackles is useful. The proposed approach, multigraph-based model, is a variant of MH. The empirical result is solid. Clarification is needed in several places. 1. In section 3, in addition to the description of the previous model, MH, you need point out the issues of MH which motivate you to propose a new model. 2. In section 4, I don't see the reason why separators are introduced. what additional info they convene beyond T/I/O? 3. section 5.1 does not seem to provide useful info regarding why the new model is superior.",1,
mixed-099,How is my artwork?,This is embarrassing.,4,
mixed-050,Give me feedback as a colleague.,Your explanation of the technical constraint was understandable to non-engineers.,1,
mixed-046,Give me feedback as a colleague.,Your review pointed out the accessibility issue and suggested a practical next step.,1,
mixed-065,How is my artwork?,The perspective is a mess because the table edges point in different directions.,1,
mixed-042,Give me feedback as a colleague.,"The way you paired with me on the bug helped me understand the reasoning, not just the fix.",1,
mixed-060,Give me feedback as a colleague.,The workshop was all talk and no outcome because we never chose between the options.,2,The workshop could have been more productive if we were able to choose between the options
mixed-037,Give me feedback as a colleague.,The prototype walkthrough connected each feature to the customer problem it solves.,1,
mixed-012,Give me feedback as a colleague on my research proposal.,"* Outperforms ALIGN in supervised entity linking task which suggests that the proposed framework improves representations of text and knowledge that are learned jointly. * Direct comparison with closely related approach using very similar input data. * Analysis of the smoothing parameter provides useful analysis since impact of popularity is a persistent issue in entity linking. * Comparison with ALIGN could be better. ALIGN used content window size 10 vs this paper's 5, vector dimension of 500 vs this paper's 200. Also its not clear to me whether N(e_j) includes only entities that link to e_j.",1,
mixed-055,Give me feedback as a colleague.,The timeline is wildly unrealistic because it ignores the approval step we discussed last week.,1,
mixed-067,How is my artwork?,The shadows look muddy and make the main figure blend into the wall.,1,
mixed-080,Give me feedback as a colleague.,This was confusing.,3,
mixed-021,Give me feedback as a colleague on my research proposal.,"The paper addresses a relevant topic: learning the mapping between natural language and KB relations, in the context of QA (where we have only partial information for one of the arguments), and in the case of having a very large number of possible target relations. The proposal consists in a new method to combine two different representations of the input text: a word level representation (i.e. with segmentation of the target relation names and also the input text), and relations as a single token (i.e without segmentation of relation names nor input text).",1,
mixed-058,Give me feedback as a colleague.,The proposal buries the actual customer problem under a pile of jargon.,1,
mixed-028,Give me feedback as a colleague.,The handoff document gave me enough context to continue the work without another meeting.,1,
mixed-053,Give me feedback as a colleague.,Your status update was useless until you finally said what you needed from the team.,2,You could have shortened the status update and jump into saying what you needed from the team
mixed-009,Give me feedback as a colleague on my research proposal.,"The paper presents two approaches for generating English poetry. The first approach combine a neural phonetic encoder predicting the next phoneme with a phonetic-orthographic HMM decoder computing the most likely word corresponding to a sequence of phonemes. The second approach combines a character language model with a weigthed FST to impose rythm constraints on the output of the language model. For the second approach, the authors also present a heuristic approach which permit constraining the generated poem according to theme (e.g;, love) or poetic devices (e.g., alliteration).",1,
mixed-073,How is my artwork?,The crop is frustrating because it cuts through the hand and makes the pose feel accidental.,1,
mixed-091,Give me feedback as a colleague.,Nobody wants to work with you.,4,
mixed-083,Give me feedback as a colleague.,You should improve communication.,1,
mixed-092,Give me feedback as a colleague.,This is garbage.,4,
mixed-095,Give me feedback as a colleague.,Stop pretending you know what you are doing.,4,
mixed-063,Give me feedback as a colleague.,"You keep interrupting people in planning, and it shuts down useful concerns before we examine them.",1,
mixed-017,Give me feedback as a colleague on my research proposal.,"This paper presents several weakly supervised methods for developing NERs. The methods rely on some form of projection from English into another language. The overall approach is not new and the individual methods proposed are improvements of existing methods. For an ACL paper I would have expected more novel approaches. One of the contributions of the paper is the data selection scheme. The formula used to calculate the quality score is quite straightforward and this is not a bad thing. However, it is unclear how the thresholds were calculated for Table 2. The paper says only that different thresholds were tried.",1,
mixed-041,Give me feedback as a colleague.,"You summarized the discussion before moving on, so the group stayed aligned.",1,
mixed-075,How is my artwork?,The color grading is harsh; the skin tones look grey against the saturated background.,1,
mixed-003,Give me feedback as a colleague on my research proposal.,"# Paper summary This paper presents a method for learning well-partitioned shared and task-specific feature spaces for LSTM text classifiers. Multiclass adversarial training encourages shared space representations from which a discriminative classifier cannot identify the task source (and are thus generic). The models evaluates are a fully-shared, shared-private and adversarial shared-private -- the lattermost ASP model is one of the main contributions. They also use orthogonality constraints to help reward shared and private spaces that are distinct.",1,
